time,XL_430_base_Revolute-29,XL_430_shoulder_Revolute-30,XL_430_upper_Revolute-31,XL_430_lower_Revolute-32
0.0,0.3490658503988659,0.3490658503988659,0.0,-0.4363323129985824
0.1,0.34906583689209597,0.34406596023042857,4.6644620100288635e-07,-0.4313323129985824
0.2,0.3490657963717862,0.32906628972511665,1.8657848040115407e-06,-0.4163323129985824
0.30000000000000004,0.34906572883793663,0.30406683888293007,4.198015809025973e-06,-0.39133231299858245
0.4,0.34906563429054716,0.2690676077038688,7.46313921604618e-06,-0.3563323129985824
0.5,0.3490655127296334,0.2240686019198273,1.1661154490336335e-05,-0.3113323187306028
0.6000000000000001,0.3490653641552224,0.16906983158129035,1.6792060694273762e-05,-0.256332340245349
0.7000000000000001,0.3490651885672819,0.10407128476202376,2.2855858940472226e-05,-0.19133236561632488
0.8,0.34906498596582575,0.029072966529065807,2.9852548756221187e-05,-0.11633239991068013
0.9,0.34906475686227556,-0.0557358067580171,3.776446857421965e-05,-0.03152176364665473
1.0,0.34906453468105025,-0.1379820973662072,4.54373310788694e-05,0.050726333648946034
1.1,0.3490643395133648,-0.2102286076375224,5.217730118151335e-05,0.12297443094454656
1.2,0.3490641713592192,-0.27247533757196357,5.798437888215159e-05,0.18522252824014762
1.3,0.3490640302186133,-0.324722287169531,6.285856418078415e-05,0.23747062553574952
1.4,0.3490639160915474,-0.3669694564302236,6.679985707741091e-05,0.2797187228313514
1.5,0.3490638289780213,-0.3992168453540416,6.980825757203189e-05,0.31196682012695326
1.6,0.34906376887803503,-0.4214644539409851,7.188376566464712e-05,0.33421491742255527
1.7000000000000002,0.3490637357915886,-0.4337122821910537,7.302638135525655e-05,0.34646301471815705
1.772480972,0.3490637286958186,-0.4363389702114619,7.327142846770585e-05,0.34908976043848267
