time,XL_430_base_Revolute-29,XL_430_shoulder_Revolute-30,XL_430_upper_Revolute-31,XL_430_lower_Revolute-32
0.0,1.1344640137963142,0.4886921905584123,0.0,-0.4886921905584123
0.1,1.1394640137963141,0.4886923336631606,2.1039377941175404e-07,-0.48869226954565054
0.2,1.1544640137963142,0.4886927629774057,8.415751176470156e-07,-0.4886925065073653
0.30000000000000004,1.1794640137963142,0.4886934785011475,1.8935440147057844e-06,-0.4886929014435566
0.4,1.2144640137963139,0.48869448023438605,3.36630047058805e-06,-0.4886934543542244
0.5,1.2594640137963133,0.48869576817712135,5.25984448529381e-06,-0.4886941652393687
0.6000000000000001,1.3144640137963124,0.48869734232935336,7.574176058823069e-06,-0.4886950340989895
0.7000000000000001,1.3794640137963112,0.488699202691082,1.0309295191175822e-05,-0.48869606093308693
0.8,1.454463998850749,0.4887013492618797,1.3465201253461467e-05,-0.4886972457414247
0.9,1.5394639825736665,0.488703782042136,1.7041894818541904e-05,-0.4886985885242179
1.0,1.6344638925956818,0.48870650102977964,2.1039372841203576e-05,-0.4887000892803234
1.1,1.734463850967849,0.4887093631235554,2.5247246677791248e-05,-0.4887016690244309
1.2,1.834463850967853,0.48871222521852264,2.9455122266026495e-05,-0.4887032487691961
1.3,1.934463850967857,0.4887150873134899,3.3662997854261734e-05,-0.48870482851396124
1.4,2.034463850967861,0.48871794940845714,3.787087344249699e-05,-0.48870640825872635
1.5,2.134463850967865,0.4887208115034244,4.207874903073222e-05,-0.4887079880034915
1.6,2.2344638509678685,0.48872367359839164,4.628662461896748e-05,-0.4887095677482567
1.7000000000000002,2.334463850967873,0.4887265356933589,5.049450020720274e-05,-0.4887111474930218
1.8,2.4344638509678767,0.4887293977883261,5.470237579543798e-05,-0.48871272723778697
1.9,2.5344638509678807,0.4887322598832934,5.8910251383673226e-05,-0.48871430698255214
2.0,2.634463850967885,0.48873512197826063,6.311812697190847e-05,-0.4887158867273173
2.1,2.7301486018813925,0.488737860566701,6.71444222472615e-05,-0.4887173983021609
2.2,2.8158585544256507,0.48874031366693915,7.075099041705922e-05,-0.48871875230064943
2.3,2.8915685069699064,0.48874248055768066,7.393677102803334e-05,-0.4887199483246614
2.4,2.9572784595141606,0.4887443612389254,7.670176408018386e-05,-0.488720986374197
2.5,3.0129884120584123,0.48874595571067336,7.904596957351078e-05,-0.4887218664492559
2.6,3.0586983646026633,0.4887472639729247,8.096938750801415e-05,-0.4887225885498384
2.7,3.0944083171469146,0.48874828602567927,8.247201788369403e-05,-0.48872315267594435
2.8,3.120118269691167,0.4887490218689371,8.355386070055045e-05,-0.4887235588275738
2.9,3.1358282222354195,0.4887494715026982,8.421491595858337e-05,-0.48872380700472673
3.0,3.141538174779672,0.48874963492696266,8.445518365779277e-05,-0.48872389720740317
3.007099525,3.141563376410426,0.48874963564825724,8.445624411106111e-05,-0.4887238976055246
