time,XL_430_base_Revolute-29,XL_430_shoulder_Revolute-30,XL_430_upper_Revolute-31,XL_430_lower_Revolute-32
0.0,0.3490658503988659,-0.3490658503988659,0.0,0.2617993877991494
0.1,0.34906651623382934,-0.3440658503988659,2.0667012951950897e-07,0.2568003273010195
0.2,0.3490685137387198,-0.32906585039886593,8.266805180780371e-07,0.24180314580662982
0.30000000000000004,0.34907184291353704,-0.30406585039886586,1.8600311656755863e-06,0.21680784331598021
0.4,0.3490765037582813,-0.2690658503988658,3.306722072312155e-06,0.18181441982907084
0.5,0.34908249627235555,-0.2240658548816024,5.166753052698191e-06,0.13682287982779595
0.6000000000000001,0.3490898204535984,-0.16906588007721482,7.440123435976701e-06,0.08183323953924512
0.7000000000000001,0.3490984763045102,-0.10406590721023894,1.0126833998213203e-05,0.016845480191482153
0.8,0.3491084638241871,-0.029065943067545844,1.3226884458878995e-05,-0.05814039142989714
0.9,0.34911923021077196,0.0517828195809116,1.656868930848875e-05,-0.138973962565614
1.0,0.34912883341535883,0.12389682014987688,1.954945127604036e-05,-0.21107441288690038
1.1,0.3491371049500187,0.18601082071884867,2.2116872984553214e-05,-0.27317674221193344
1.2,0.34914404481475164,0.23812482128781676,2.4270954434026898e-05,-0.32528095054070305
1.3,0.3491496530095576,0.2802388218567795,2.6011695624461346e-05,-0.3673870378732075
1.4,0.34915392953443675,0.31235282242574625,2.733909655585694e-05,-0.39949500420945605
1.5,0.3491568743893889,0.3344668229947131,2.8253157228213517e-05,-0.421604849549445
1.6,0.34915848757441414,0.34658082356367914,2.8753877641531045e-05,-0.43371657389317325
1.671140005,0.3491588245468581,0.3491112737684412,2.8858471335843213e-05,-0.43624654862539536
