time,XL_430_base_Revolute-29,XL_430_shoulder_Revolute-30,XL_430_upper_Revolute-31,XL_430_lower_Revolute-32
0.0,0.3490658503988659,-0.4363323129985824,0.0,0.3490658503988659
0.1,0.3540658503988659,-0.4363324620063756,-1.3997356779554157e-07,0.34906585042861493
0.2,0.36906585039886586,-0.4363329090297552,-5.598942711821658e-07,0.3490658505178621
0.30000000000000004,0.39406585039886577,-0.43633365406872116,-1.2597621101598736e-06,0.34906585066660734
0.4,0.4290658503988659,-0.43633469712327355,-2.2395770847286703e-06,0.3490658508748507
0.5,0.47406585039886623,-0.43633603819341227,-3.499339194888558e-06,0.34906585114259214
0.6000000000000001,0.5290658503988666,-0.4363376772791374,-5.039048440639528e-06,0.3490658514698317
0.7000000000000001,0.594065848247878,-0.4363396143803849,-6.858704761765265e-06,0.34906585185656935
0.8,0.6690658362288995,-0.43634184949692456,-8.958307942230536e-06,0.34906585230280507
0.9,0.7540658242099205,-0.43634438262905073,-1.1337858258286875e-05,0.3490658528085389
1.0,0.8490657897321183,-0.4363472137760939,-1.3997355081205973e-05,0.3490658533737707
1.1,0.9490657235320572,-0.436350193929985,-1.6796824583865063e-05,0.34906585396875134
1.2,1.0490657235320566,-0.4363531740858489,-1.9596295939775886e-05,0.34906585456373235
1.3,1.1490657235320558,-0.4363561542417128,-2.2395767295686703e-05,0.34906585515871336
1.4,1.2490657235320555,-0.43635913439757673,-2.519523865159753e-05,0.3490658557536944
1.5,1.3490657235320551,-0.43636211455344065,-2.7994710007508353e-05,0.3490658563486755
1.6,1.4490657235320654,-0.4363650947093045,-3.079418136341949e-05,0.3490658569436565
1.7000000000000002,1.5490657235320762,-0.4363680748651684,-3.359365271933062e-05,0.3490658575386375
1.8,1.6490657235320865,-0.43637105502103235,-3.6393124075241755e-05,0.34906585813361857
1.9,1.749065723532097,-0.43637403517689627,-3.919259543115288e-05,0.34906585872859963
2.0,1.8490657235321075,-0.4363770153327602,-4.199206678706401e-05,0.3490658593235806
2.1,1.9490657235321183,-0.4363799954886241,-4.4791538142975154e-05,0.34906585991856165
2.2,2.049065723532129,-0.436382975644488,-4.7591009498886296e-05,0.34906586051354266
2.3,2.1490657235321393,-0.4363859558003519,-5.039048085479742e-05,0.34906586110852367
2.4,2.24906572353215,-0.43638893595621575,-5.3189952210708566e-05,0.34906586170350473
2.5,2.34906572353216,-0.43639191611207967,-5.598942356661969e-05,0.3490658622984858
2.6,2.449065723532149,-0.4363948962679436,-5.878889492253021e-05,0.3490658628934668
2.7,2.549065723532137,-0.43639787642380745,-6.158836627844072e-05,0.3490658634884478
2.8,2.649037122842274,-0.4364008557273263,-6.438703696623124e-05,0.3490658640832587
2.9,2.743280806904953,-0.4364036643360032,-6.702536190632104e-05,0.34906586464399075
3.0,2.827524490967631,-0.43640617492909384,-6.938373971081973e-05,0.34906586514522464
3.1,2.901768175030308,-0.436408387506598,-7.146217037972732e-05,0.34906586558696057
3.2,2.9660118590929874,-0.4364103020685157,-7.326065391304388e-05,0.3490658659691983
3.3,3.0202555431556677,-0.4364119186148472,-7.477919031076942e-05,0.3490658662919379
3.4,3.0644992272183496,-0.43641323714559216,-7.601777957290387e-05,0.3490658665551794
3.5,3.09874291128103,-0.4364142576607507,-7.697642169944722e-05,0.3490658667589228
3.6,3.1229865953437104,-0.436414980160323,-7.765511669039948e-05,0.3490658669031681
3.7,3.1372302794063907,-0.43641540464430884,-7.805386454576064e-05,0.34906586698791536
3.79243684,3.141502564158923,-0.4364155319650534,-7.817346593365074e-05,0.34906586701333464
