time,XL_430_base_Revolute-29,XL_430_shoulder_Revolute-30,XL_430_upper_Revolute-31,XL_430_lower_Revolute-32
0.0,0.0,0.0,0.0,0.0
0.1,0.004999999999999991,0.0016469277563881833,-1.3381021055956132e-07,-0.0016474838309667144
0.2,0.019999999999999955,0.0065877110255527305,-5.352408422382451e-07,-0.006589935323866855
0.30000000000000004,0.04499999999999995,0.01482234980749366,-1.2042918950360529e-06,-0.01482735447870044
0.4,0.0799999999999999,0.02635084410221095,-2.1409633689529824e-06,-0.026359741295467445
0.5,0.1249999999999998,0.04117319390970459,-3.3452552639890338e-06,-0.04118709577416787
0.6000000000000001,0.17999998905374498,0.05928939562443646,-4.817167287200078e-06,-0.05930941430804619
0.7000000000000001,0.24499996938576152,0.08069944997913331,-6.556699498118977e-06,-0.08072669763007657
0.8,0.3199999451174099,0.10540335833131173,-8.563852007041752e-06,-0.10543894709823395
0.9,0.40499991011560776,0.133401118660823,-1.0838624649834597e-05,-0.13344616069168752
1.0,0.4999998020922947,0.16469271045088,-1.3381015759541812e-05,-0.1647483178867228
1.1,0.599999749288205,0.19763124818573954,-1.605721855758777e-05,-0.19769797710728038
1.2,0.6999997492882097,0.23056980331350482,-1.873342276877913e-05,-0.23064765372661628
1.3,0.7999997492882144,0.2635083584412701,-2.1409626979970486e-05,-0.2635973303459521
1.4,0.8999997492882192,0.29644691356903535,-2.4085831191161845e-05,-0.2965470069652881
1.5,0.9998625347109369,0.3293402721976176,-2.675836326005748e-05,-0.32945147182513324
1.6,1.0932059443736586,0.36008624264750755,-2.9256423520320718e-05,-0.36020782345446056
1.7000000000000002,1.1765493540363798,0.38753835758462096,-3.148686335946482e-05,-0.3876692074218543
1.8,1.2498927636991006,0.4116966170089579,-3.34496827774898e-05,-0.4118356237273144
1.9,1.3132361733618212,0.4325610209205182,-3.5144881774395634e-05,-0.432707072370841
2.0,1.366579583024541,0.450131569319302,-3.657246035018233e-05,-0.4502835533524339
2.1,1.4099229926872603,0.46440826220530934,-3.77324185048499e-05,-0.4645650666720933
2.2,1.443266402349979,0.4753910995785401,-3.862475623839832e-05,-0.475551612329819
2.3,1.4666098120126991,0.4830800814389947,-3.924947355082765e-05,-0.48324319032561164
2.4,1.4799532216754188,0.4874752077866731,-3.9606570442137855e-05,-0.4876398006594708
2.483434096,1.4834338459154173,0.48862167512075527,-3.969971905462444e-05,-0.4887866550908845
